"country","iso2c","iso3c","year","arrivals","gdp_pc","gdp_growth","reer","population"
"Greece","GR","GRC",2010,NA,21547.724178239,-5.6937412158003,99.9999999999999,11121341
"Greece","GR","GRC",2011,NA,19448.255802525,-9.87677875300243,100.725849852283,11104899
"Greece","GR","GRC",2012,NA,17924.6620496886,-8.33113421099992,97.4917795326544,11045011
"Greece","GR","GRC",2013,20112000,17644.8766635021,-2.27211699888024,96.4607385343488,10965211
"Greece","GR","GRC",2014,24272000,17903.5252440012,0.792225060962835,94.788827734785,10892413
"Greece","GR","GRC",2015,26114000,17980.7298238137,-0.228301892172851,89.2360245058807,10820883
"Greece","GR","GRC",2016,28071000,18049.928997892,-0.0317947678412054,89.4531285578949,10775971
"Greece","GR","GRC",2017,30161000,18352.0884461258,1.47312472702352,89.8809134233803,10754679
"Greece","GR","GRC",2018,33072000,18769.0389621976,2.06467207892409,90.4082992149922,10732882
"Greece","GR","GRC",2019,34005000,19216.6759579785,2.27718065334808,88.6100089927725,10721582
"Greece","GR","GRC",2020,7406000,17486.951333323,-9.19623149726978,88.2171942721101,10698599
"Italy","IT","ITA",1995,55706000,29408.3209572297,2.88683671925843,89.1862785698184,56844303
"Italy","IT","ITA",1996,59805000,29795.6597750915,1.34558477192847,99.1766571274617,56860281
"Italy","IT","ITA",1997,57998000,30353.3778243995,1.92572122608527,98.6812711990087,56890372
"Italy","IT","ITA",1998,58499000,30892.1758654455,1.8043732818638,99.1544249159858,56906744
"Italy","IT","ITA",1999,59521000,31405.2609007683,1.67799157943422,97.8925163110039,56916317
"Italy","IT","ITA",2000,62702000,32609.66746283,3.88209885062652,93.1002212745413,56942108
"Italy","IT","ITA",2001,60960000,33243.599343976,2.00643329837733,94.4118765693948,56976981
"Italy","IT","ITA",2002,63561000,33267.4474482048,0.26992966378873,96.7094577817723,57089824
"Italy","IT","ITA",2003,63026000,33110.1698494812,0.0665538088732092,102.78706880323,57399184
"Italy","IT","ITA",2004,58480000,33348.9744820456,1.4740217064723,104.504941757888,57828179
